NEIGHBORHOOD,BOROUGH,BLOCK,LOT,MULTI-LOT,DATE,PRICE,LOT AREA,LOT FRONTAGE,LOT TYPE,ZONING 1,ZONING 2,OVERLAY 1,OVERLAY 2,SPECIAL DISTRICT,MIH/VIH,BASE FAR,BASE ZFA,PPZFA
East New York,Brooklyn,3758,"1, 44",Yes,45272,1060000,4000,240,Corner,R6,,C1-3,,,,2.2,8782,121
Gowanus,Brooklyn,462,6,No,45269,30466125,20377,220,Through,M1-4/R7-2,,,,G,MIH,4.4,99031,308
Midtown East,Manhattan,1294,46,No,45269,223000000,35,400.83,Corner,C5-3,C5-2.5,,,MID,,15.00/12.00,496752,449
Highbridge,The Bronx,2536,29,No,45268,1500000,18750,187.65,Interior,R7-1,,C1-4,,,,3.44,66929,55
Whitestone,Queens,4722,"19, 21, 24",Yes,45268,3665000,9602,37.93,Interior,R3-1,,,,,,0.5,4801,312
Sheepshead Bay,Brooklyn,7417,36,No,45264,1750000,6313,191.29,Corner,R4,,,,,,0.75,4735,370
Ozone Park,Queens,9105,"23, 18",Yes,45260,2770000,20000,200,Interior,R5,,,,,,1.25,25000,164
Woodstock,The Bronx,2620,"49, 50, 56, 52",Yes,45260,4100000,8923,189.39,Corner,R6,,,,,,2.2,19631,171
Williamsburg,Brooklyn,2767,1,No,45260,3350000,1356,79.25,Corner,R7A,,C2-4,,,VIH,3.45,10856,255
Old Astoria,Queens,901,"1, 57",Yes,45259,2725000,7902,160.89,Corner,R6B,,,,,,2,15804,172
Harlem,Manhattan,1918,54,No,45259,2000000,2998,30,Interior,R7-2,,,,,,3.44,10854,184
Gowanus,Brooklyn,406,18,No,45251,5250000,12500,125,Interior,M1-4/R7X,,,,G,MIH,5.4,74935,185
Two Bridges,Manhattan,277,5,No,45251,13900000,5029,50,Interior,R7-2,,,,,,3.44,20810,252
North Riverdale,The Bronx,5888,"1556, 1557, 1558, 1559",Yes,45247,4750000,11570,228.69,Corner,R6,R3A,C1-2,,,,3.00/0.50,30192,157
Downtown Brooklyn,Brooklyn,110,25,No,45246,15000000,24412,217,Interior,R6,,,,,,3.00/2.20,71066,211
South Astoria,Queens,655,"40, 41",Yes,45245,4800000,5000,150,Corner,C4-2A,,,,,,3,15000,320
Williamsburg,Brooklyn,2156,1,No,45244,6725000,6800,165,Corner,R6,,,,,,2.2,14960,450
Prospect Heights,Brooklyn,1122,"21, 26",Yes,45240,20000000,20000,200,Interior,C6-3A,,,,,MIH,8.5,211560,95
Elmhurst,Queens,2857,74,Yes,45239,9500000,26100,737.89,Corner,R6,,C1-2,,,,3,78300,198
Elmhurst,Queens,1550,"10, 16, 20",Yes,45239,8700000,32206,315.08,Corner,R6,,C2-4 ,,,,3,96618,205
Jackson Heights,Queens,1256,1,No,45239,13100000,35600,556,Corner,R5,,,,,,1.25,44500,213
Woodside,Queens,1153,10,No,45239,21000000,72000,775.85,Corner,R5,,C2-2,,,,1.25,90000,233
Long Island City,Queens,402,"16, 18",Yes,45239,19800000,8400,75,Interior,M1-3/R7X,,,,LIC,VIH,3.75,31500,276
Jackson Heights,Queens,1248,"1, 5",Yes,45239,15500000,20000,400,Corner,C8-1,,,,,,1,20000,310
East Elmhurst,Queens,1168,33,No,45239,6600000,30122,501.22,Corner,R4,,C1-2,,,,0.75,22592,374
East Elmhurst,Queens,1164,45,No,45239,8450000,21025,399.17,Corner,R4,,C1-2,,,,0.75,15769,419
East Elmhurst,Queens,1169,"49, 33",Yes,45239,6200000,30122,737.89,Corner,R4,,C1-2,,,,0.75,22592,580
Mount Hope,The Bronx,2814,48,No,45238,9800000,4064,135.16,Corner,R7-1,,,,,,3.44,33792,118
Bushwick,Brooklyn,3426,39,No,45238,1060000,2500,25,Interior,R6,,,,,,3,7498,141
Mott Haven,The Bronx,2322,5,No,45238,4000000,22385,309.18,Corner,M1-4,,,,,,2,31236,314
Midwood,Brooklyn,6745,14,No,45236,5579000,7853,138,Corner,R7A,,C2-3,,,,4,29797,151
Bay Ridge,Brooklyn,6109,23,No,45236,4500000,10443,206.08,Corner,R6B,,C2-3,,BR,,2,19960,280
East New York,Brooklyn,3661,"1, 5",Yes,45231,6200000,27000,350,Corner,C4-4 ,R4,,,RC-6,MIH,3.44/0.75,77469,80
Gravesend,Brooklyn,6914,84,No,45230,1050000,4763,172,Corner,R5,,,,,,1.25,5954,176
Williamsburg,Brooklyn,2418,1,No,45230,3500000,2484,127.5,Corner,R6,,C2-3,,,,2.2,5465,640
Ditmars Steinway,Queens,831,"25, 27, 29, 125",Yes,45226,21000000,18757,289.67,Corner,R6A,,C1-3,,,,3,65417,321
Astoria,Queens,872,5,No,45225,1990000,4100,24.83,Interior,R6A,R5D,C1-3,,,,3.00/2.00,10683,186
Greenpoint,Brooklyn,2614,3,No,45225,23000000,27775,507.76,Corner,M1-2,,,,,,2,55550,414
Bedford-Stuyvesant,Brooklyn,1783,"72, 70, 71",Yes,45224,2400000,4775,47.75,Interior,R6B,,,,,,2,9338,257
Jamaica,Queens,9826,49,No,45223,2400000,4300,40.55,Interior,R7X,R6A,C2-4 ,,DJ,VIH,3.75,19208,125
Old Astoria,Queens,538,"43, 44",Yes,45223,4050000,5000,50,Interior,R7A,,C2-3,,,VIH,3.45,17250,235
Longwood,The Bronx,2688,50,No,45222,3075000,10206,76.08,Interior,R7-1 ,,C1-4,,,,4.00/3.44,39369,78
Rego Park,Queens,3148,2,No,45218,12500000,26152,329.58,Corner,R6A,,C2-3,,,MIH,3.6,94147,133
Sunset Park,Brooklyn,805,"53, 54, 55",Yes,45217,5400000,5184,51.75,Interior,M1-2D,,,,,,1.2,6221,225
Hunters Point,Queens,431,"28, 27",Yes,45217,1400000,2235,50,Interior,M1-5/R7-3,,,,LIC,,5,11175,483
Chelsea,Manhattan,769,22,No,45216,5950000,3606,37.5,Interior,C6-2A,,,,,,6.02,21708,274
Bath Beach,Brooklyn,6445,24,No,45215,1920000,5800,60,Interior,R5,,C2-2,,,,1.25,6996,274
Hunts Point,The Bronx,2768,"1, 9, 12",Yes,45212,7750000,25000,350,Corner ,M1-2 ,,,,HP,,2,50000,155
Astoria,Queens,510,46,No,45212,3600000,7776,48,Interior,R6,,,,,,2.2,17107,158
East Flatbush,Brooklyn,7563,42,No,45212,3900000,7525,70,Interior,R6,,,,,,3.00/2.20,22570,160
Astoria,Queens,570,59,No,45212,2700000,4830,157,Corner,R6A,,,,,,3,14490,269
Woodlawn,The Bronx,3356,196,No,45211,18000000,6765,100,Interior,C4-4,R6,,,,,3.44,23272,72
Richmond Hill,Queens,9330,"8, 1, 10, 12",Yes,45211,1675000,32497,525,Corner,M1-5 ,,,,,,5,162485,111
Kingsbridge Heights,The Bronx,3246,"69, 71",Yes,45210,2000000,8750,202.33,Corner,R6A,,C2-3,,,,3,26250,76
Melrose,The Bronx,2331,"39, 41",Yes,45210,4637500,7000,175,Corner,C4-4 ,,,,,,3.44,24080,193
Carnegie Hill,Manhattan,1515,33,No,45209,24500000,5000,150,Corner,C2-8A,,,,,,10,50000,490
Laurelton,Queens,13100,22,No,45207,8700000,24518,312.41,Corner,R5D,,C2-3,,,,2,67658,98
University Heights,The Bronx,3209,55,No,45205,10000000,5000,50,Interior,R7-1 ,,,,,,3.44,17200,70
Greenwich Village,Manhattan,553,19,No,45205,1200000,5710,50,Interior,C4-5,,,,LC,,3.44,19642,509
Times Square,Manhattan,1026,21,No,45204,172800000,8855,216.17,Corner,C6-7 ,C6-6,,,MID,,14,241346,716
Williamsburg,Brooklyn,3100,"22, 26, 32, 66, 67, 68, 56, 61, 63, 47",Yes,45201,25500000,82955,925,Corner,M1-1,M1-2,,,,,1.0/2.4,135910,188
Mott Haven,The Bronx,2578,"15, 16, 18",Yes,45198,5981763,16750,262.5,Corner,R7D,,,,,MIH,5.6,93800,64
Bedford Park,The Bronx,3322,44,No,45198,3000000,6500,65,Interior,R8,,,,,,6.02,39035,115
East New York,Brooklyn,4257,"38, 40",Yes,45198,4500000,6000,160,Corner,R6A,,,,,,3,16929,177
East Harlem,Manhattan,1673,4,No,45191,1900000,1875,25,Interior,R8A,C1-5,,,,,6.02,11288,168
Clinton Hill,Brooklyn,1991,19,No,45190,1500000,2375,100,Corner,R7A,,C2-4,,,VIH,3.45,8162,288
Red Hook,Brooklyn,522,"8, 9",Yes,45190,2350000,4500,140,Corner,M1-1 ,,,,,,1,4500,333
Ditmars Steinway,Queens,786,"59, 58",Yes,45190,1994999,6625,66.5,Interior,R4,,,,,,0.75,4969,402
Melrose,The Bronx,2331,13,No,45184,2200000,4500,50,Interior,C4-4 ,,,,,,3.44,26354,83
Coney Island,Brooklyn,6963,2,No,45182,4200000,140784,200,Interior,R6,,,,,,2.43,342105,134
Williamsburg,Brooklyn,2409,13,No,45182,46000000,4000,40,Interior,R6,,,,,,2.2,10909,385
Elmhurst,Queens,1536,112,No,45181,1325000,4079,247.18,Corner,M1-1,,,,,,1,4079,325
Olinville,The Bronx,4651,"70, 71",Yes,45177,17000000,9464,50,Interior,R7A,R5A,C2-4,,,,4.00/1.25,71245,33
Long Island City,Queens,389,"25, 1",Yes,45177,8000000,23760,360.04,Corner,M1-3,,,,,,5,118800,67
Highbridge,The Bronx,2855,51,No,45177,2337500,20000,200,Through,R8A,,C2-4 ,,,MIH,7.2,124161,137
Greenwich Village,Manhattan,589,"39, 40",Yes,45174,13500000,6759,42.75,Interior,R7-2,R6,C1-5,,,,4.00/2.20,22347,604
Prospect Heights,Brooklyn,1154,"24, 27, 29",Yes,45170,10800000,13646,200.58,Corner,R6A,R6B,C2-4 ,,,,2.00/3.00,34623,312
Harlem,Manhattan,1984,"10, 30, 28",Yes,45169,25260782,24990,199.92,Interior,R7-2 ,,C1-4,,,,4.00/3.44,435341,58
Brighton Beach,Brooklyn,8665,503,No,45169,2950000,7200,80,Interior,R6,,,,OP,,2.2,15716,188
Cobble Hill,Brooklyn,408,41,No,45169,5050000,5000,150,Corner,R6B,,C2-4,,,,2,10000,260
Sunset Park,Brooklyn,5821,43,No,45167,4300000,8000,180,Corner,M1-1 ,,,,,,1,18782,229
Springfield Gardens,Queens,12711,"11, 12, 15",Yes,45167,2450000,8771,203,Corner,C8-1,,,,,,1,8771,279
Borough Park,Brooklyn,5688,52,No,45166,2500000,4508,45,Interior,R5,,,,,,1.25,7554,331
East Harlem,Manhattan,1636,33,No,45163,2500000,2542,125.42,Corner,R9,C2-5,,,EHC,MIH,9,40572,62
Corona,Queens,2007,"24, 23",Yes,45163,1390000,5000,50,Interior,R5,,,,,,1.25,6250,222
Greenpoint,Brooklyn,2607,105,No,45162,1125000,5000,50,Interior,M3-1,,,,,,2,10000,120
Bedford-Stuyvesant,Brooklyn,1768,28,No,45162,1000000,2000,20,Interior,R6B,,,,,,2,4000,281
Williamsburg,Brooklyn,2762,14,No,45162,3700000,2500,25,Interior,R7A,,C2-4,,,VIH,3.45,11464,323
Seagate,Brooklyn,7038,18,No,45162,1200000,5490,44.98,Interior,R3-1,,,,,,0.5,2745,364
Longwood,The Bronx,2603,157,No,45161,3250000,10000,100,Interior,R7-1,,,,,,4,40000,81
Elmhurst,Queens,1485,49,No,45154,3500000,4000,40,Interior,R7X,,,,,,5,20000,175
Coney Island,Brooklyn,7013,1,No,45153,2667500,12000,220,Corner,R5,,,,,,1.25,13746,194
Long Island City,Queens,405,16,No,45152,3250000,5042,50,Interior,M1-2/R5B,,,,LIC,,1.65,14876,218
East Harlem,Manhattan,1655,1,No,45149,5600000,5664,137.92,Corner,R9,C2-5,,,EHC,MIH,9,50976,110
Homecrest,Brooklyn,6780,37,No,45148,1950000,3333,33.33,Interior,R7A,,,,,,4,13277,147
Murray Hill,Queens,5015,27,No,45147,6650000,8100,60,Interior,R6,,,,,,2.2,18782,104
Midtown East,Manhattan,1279,"23, 24, 25, 48",Yes,45140,35175000,25051,450,Corner,C5-3,,,,MID,,15,750400,47
Soundview,The Bronx,3712,1,No,45138,5500000,14252,248.17,Corner,R6,,,,,,3.00/2.20,40182,137
Hell's Kitchen,Manhattan,1042,57,No,45138,3350000,1765,17.58,Interior ,R8,,,,CL,,3.44,7413,452
Belmont,The Bronx,3071,8,No,45134,1850000,7230,28.67,Through,R7-1,,,,,,4,28920,64
Fordham,The Bronx,3181,"8, 42",Yes,45134,16000000,13950,150,Through,R8,,,,,,6.02,75978,92
Flushing,Queens,4414,27,No,45134,7000000,36296,120,Through,R5D,,,,,,2,72592,220
Long Island City,Queens,431,"7, 6",Yes,45133,10800000,2396,25,Interior ,M1-5,R7-3,,,LIC,,5,11980,292
Carroll Gardens,Brooklyn,361,16,No,45133,3500000,5250,52.5,Interior,R6A,,,,,,3,15712,687
NoMad,Manhattan,831,6,No,45132,20100000,750,30.33,Interior,C6-4X,,,,,,10,7500,320
Boerum Hill,Brooklyn,279,"37, 1",Yes,45132,2400000,17440,300,Corner,R6A,R6B,C2-4,,,,3.00/2.00,42320,475
Fordham,The Bronx,3156,72,No,45131,5700000,12047,50,Interior ,R8,,C1-4,,,,6.02,70350,81
East Harlem,Manhattan,1751,"20, 126",Yes,45128,12014339,15166,242.92,Corner,R7-2,,,,,,4.00/3.44,107735,112
Woodstock,The Bronx,2653,39,No,45127,1000000,8333,25,Interior,R7-1,,,,,,3.44,28666,35
Woodstock,The Bronx,2653,"44, 39",Yes,45127,2600000,10080,87.42,Through,R7-1,,,,,,3.44,34675,75
Ocean Hill,Brooklyn,1450,"26, 37, 38, 39, 40, 41",Yes,45125,3750000,7347,163.08,Interior ,R7A,,,,,MIH,4.6,33734,111
East Village,Manhattan,394,28,No,45125,2800000,2237,21.67,Interior,R8B,,,,,,4,8948,313
Bedford-Stuyvesant,Brooklyn,1973,13,No,45124,1550000,2725,27.25,Interior ,R6B,,,,,,2,5424,286
Williamsburg,Brooklyn,2262,"34, 36",Yes,45124,9900000,8334,83.34,Interior ,R7-1,,,,,,3,28669,345
Elmhurst,Queens,1537,"4, 19, 22",Yes,45121,9550000,22775,413,Corner,M1-1,,,,,,1,22775,419
Astoria,Queens,872,5,No,45120,1430000,4100,24.1,Interior ,R6A,R5D,C1-3,,,,3.00/2.00,10683,162
Red Hook,Brooklyn,587,47,No,45120,1730000,4100,41,Interior ,R5,R6,,,,,2.20/1.25,5645,253
Morrisania,The Bronx,2613,"34, 31",No,45119,2100000,9084,59.94,Interior ,R6,,,,,,3.00/2.20,32787,64
Belmont,The Bronx,308,14,No,45118,1350000,5530,50,Interior ,R6A,,,,,,3,15177,89
Flushing,Queens,4978,15,No,45117,37500000,18775,414.06,Corner,C4-3,,,,,,3,63835,587
Maspeth,Queens,2514,"3, 23, 26, 34",Yes,45114,23000000,78446,1352,Corner,M2-1,,,,,,2,156892,147
Williamsbridge,The Bronx,4660,"16, 15, 18, 19, 20 ",Yes,45113,6000000,19253,305,Corner,R6A,R7A,,,,,4.00/3.00,70237,85
Bay Ridge,Brooklyn,5839,20,No,45113,1135000,4000,40,Interior ,R4A,,,,BR,,0.9,3586,317
Belmont,The Bronx,3096,"51, 50",Yes,45106,1600000,5104,50,Interior ,R7-1 ,,,,,,4.00/3.44,20358,79
Woodstock,The Bronx,2654,64,No,45106,7900000,15674,261.44,Corner,R6,,C1-4,,,,3.00/2.20,94021,84
Westchester Village,The Bronx,3988,45,No,45106,5200000,12950,262.41,Corner,R6,,C1-4,,,,3.00/2.20,34730,150
Yorkville,Manhattan,1577,"149, 49",Yes,45106,33210000,3104,123,Corner,R10,C1-5,,,,,10,31040,335
Yorkville,Manhattan,1533,"27, 28, 30, 129",Yes,45106,10400000,11087,205,Corner,R8B,C2-8,,,,,10.00/4.00,96543,344
Gravesend,Brooklyn,6933,"51, 48",Yes,45105,4600000,9545,104,Interior ,R6,,,,,,3,28635,161
Upper West Side,Manhattan,1199,39,No,45105,8750000,2554,25,Interior ,R10A,,,,,,10,25540,343
Jamaica,Queens,10006,6,No,45104,1600000,9624,50,Corner,R5,,,,,,1.65,11537,139
Morrisania,The Bronx,2386,"20, 21, 22, 24, 11, 17",Yes,45104,16000000,50514,382.07,Corner,M1-1,,,,,,1,50514,317
Jamaica Estates,Queens,9835,23,No,45103,13815000,6110,47,Interior ,R7A,,,,DJ,VIH,3.44,27317,88
Hunts Point,The Bronx,2769,"5, 10",Yes,45103,4075000,17500,275,Corner,M1-2,,,,HP,,2,35000,116
Gravesend,Brooklyn,6658,"86, 1, 84",Yes,45103,2400000,25909,331.34,Corner,R7A,R5,C2-4,,OP,MIH,4.60/1.25,98019,141
Jamaica,Queens,10323,6,No,45100,1250000,7352,174.92,Corner,M1-2,,,,,,2,14704,85
Mount Hope,The Bronx,2814,48,No,45099,1400000,4064,135.16,Corner,R7-1,,,,,,3.44,35549,39
Wakefield,The Bronx,5087,1,No,45099,22379883,29061,485.5,Corner,R7D,,C2-4,,,MIH,5.6,162742,138
Richmond Hill,Queens,9181,48,No,45099,2300000,6075,180,Corner,R4,R6A,C2-4,,,,3.00/0.75,14157,162
Williamsburg,Brooklyn,2415,"136, 16, 119",Yes,45098,7640000,9660,40,Interior ,M1-4/R6A,,,,MX8,VIH,2.7,26082,293
Elmhurst,Queens,2453,42,No,45092,3200000,10329,203.92,Corner,C4-2,R6,,,,,3.4,49336,126
Williamsburg,Brooklyn,2764,25,No,45092,6200000,2500,25,Interior ,R7A,,C2-4,,,VIH,3.45,8625,371
Maspeth,Queens,2520,22,No,45091,4628893,30712,153,Interior ,M3-1,,,,,,2,60719,76
Turtle Bay,Manhattan,1363,"1, 4",Yes,45091,46794135,9433,194.33,Corner,R10,,C1-5,,,,10,94330,496
Williamsbridge,The Bronx,4853,1,No,45087,1610000,15057,257,Corner,R5D,R4,,,,,2.00/ 0.75,25823,62
New Lots,Brooklyn,4317,"11, 12, 13, 51, 52, 53, 54",Yes,45086,2300000,9694,250,Through,R6,,,,,,3,29082,76
Midland Beach,Staten Island,3697,6,No,45086,2200000,13600,80,Interior ,C2-1,,,,,,0.5,6800,338
Williamsburg,Brooklyn,2279,30,No,45085,8250000,21267,325,Corner,M1-1 ,M1-2,,,,,1,21267,388
Morrisania,The Bronx,2387,"44, 49, 51",Yes,45084,8600000,27134,333.62,Corner,M1-1/R7-2,,,,MX7,,3.44/1.00,78211,110
Chelsea,Manhattan,699,14,No,45083,2600000,10374,110,Interior ,C6-3,,,,WCH,VIH,5,51870,472
Gravesend,Brooklyn,7132,13,No,45083,24500000,4060,29,Interior ,R5,,,,OP,,1.25,5075,512
Port Morris,The Bronx,2296,116,No,45082,8000000,2458,24.7,Interior ,M1-2/R6A,,,,MX1,,3,9383,128
Forest Hills,Queens,2151,149,No,45082,1200000,7600,76,Interior ,R7-1,,,,,,3.44,31006,258
Williamsburg,Brooklyn,3119,"3, 4, 5, 19",Yes,45082,11550000,12730,125.08,Through,C4-3,,,,,,3.4,43282,267
Jamaica Estates,Queens,10499,59,No,45079,1094619,4500,45,Interior ,R6A,,,,DJ,,3,13500,81
Downtown Flushing,Queens,4978,25,No,45078,1388000,154943,1119.88,Corner,C4-3,,,,,,3.44,533004,61
East Williamsburg,Brooklyn,2926,16,No,45078,32750000,3894,166.08,Corner,M3-1,,,,,,2,7788,178
Gravesend,Brooklyn,7095,49,No,45077,1690000,4000,140,Corner,R5B,,C2-3,,,,1.35,5400,313
Bedford-Stuyvesant,Brooklyn,2020,68,No,45072,65000000,47100,370.7,Interior ,C6-3A,,,,,MIH,8.5,400350,162
East New York,Brooklyn,4145,"37, 40",Yes,45070,7500000,10269,95.83,Interior ,R5,,C2-3,,,,1.25,12836,195
Briarwood,Queens,9649,37,No,45070,2500000,11800,94.67,Interior ,R6A,,C1-4,,,,3,35400,212
Morrisania,The Bronx,2388,59,No,45068,1300000,8760,49.21,Interior ,M1-1/R7-2,,,,MX7,,3.44,30134,43
Rego Park,Queens,2076,50,No,45065,100000000,139558,991.69,Corner,R8,,C2-2,,,,7.20/6.02,562633,126
Gowanus,Brooklyn,424,"1, 12",Yes,45065,71060000,98776,1188.17,Corner,M1-4/R7-2,,,,G,MIH,4.4,594000,168
Borough Park,Brooklyn,5348,"44, 45, 46, 47 ",Yes,45064,5771502,8000,80,Interior ,C4-4A,,,,,MIH,4.6,36800,157
East Harlem,Manhattan,1667,120,No,45063,1218500,4161,55,Interior ,R9A,R7A,C2-5,,EHC/TA,MIH,8.5,35547,116
Sheepshead Bay,Brooklyn,7460,96,No,45063,4125000,2499,25,Interior ,C4-2,,,,,,3.4,8696,140
Ditmars Steinway,Queens,835,120,No,45062,3100000,4271,42.71,Interior ,C4-3A,,,,,,3.4,14521,213
Old Astoria,Queens,575,23,No,45061,3700000,5201,50,Interior ,R6A,,C1-3,,,,3,15580,237
Wingate,Brooklyn,4792,13,No,45058,3500000,9500,95,Interior ,R6,,,,,,3,28500,123
Jamaica,Queens,9996,"10, 12",Yes,45055,8061617,10306,200.11,Corner,C6-3 ,,,,DJ,VIH,6,61836,130
East Elmhurst,Queens,1362,6,No,45054,3125000,9999,200,Corner,R6B,,C1-3,,,,2,19998,156
Flushing,Queens,4957,41,No,45051,4200000,4859,43.17,Interior ,R6,,,,,,3.00/2.20,14143,297
East Harlem,Manhattan,1773,20,No,45044,82000000,36227,560.83,Corner,C4-4D,,,,125TH/TA,VIH,5.4,418780,196
Long Island City,Queens,267,21,No,45043,51228809,9999,100,Interior ,R9,,M1-5,,LIC,,8,384043,133
Briarwood,Queens,9698,17,No,45043,13250000,34681,337.78,Corner,R6A,R4-1,C2-4,,DJ,,3.00/0.75,84511,157
Richmond Hill,Queens,9393,1,No,45041,3250000,9506,195.34,Corner,R6A,,C2-3,,,,3,28518,114
Flushing,Queens,5345,"1, 4, 6",Yes,45036,2200000,11058,216.78,Corner,R2A,,,,,,0.5,5529,398
Hell's Kitchen,Manhattan,1042,54,No,45034,15488000,9500,75,Through,R8,,,,CL,,4.2,39900,388
College Point,Queens,4133,87,No,45022,1250000,5009,50,Interior ,M1-1,,,,,,1,5009,250
Maspeth,Queens,8557,75,No,45019,4027725,10601,62,Interior ,M2-1,,,,,,2,21202,190
Maspeth,Queens,2557,80,No,45016,13064288,39872,402.68,Corner,M2-1,,,,,,2,79744,164
Cobble Hill,Brooklyn,408,41,No,45001,2600000,5000,150,Corner,R6B,,C2-4,,,,2,10000,260
Jamaica,Queens,"9706, 9763","3, 5, 7, 9, 11, 13, 16, 17, 69",Yes,44999,30000000,66796,550.9,Corner,R7A,,C2-4,,DJ,VIH,3.45,230446,130
Flatlands,Brooklyn,7810,"15, 14, 16, 17",Yes,44993,3000000,10998,400,Corner,R5,,C2-2,,,,1.25,13748,218
Jamaica,Queens,10253,21,No,44972,1365000,4399,40.02,Interior ,R5D,,C2-4,,,,2,8798,155
Maspeth,Queens,2670,34,No,44965,14000000,4738,46,Interior ,M1-1D,,,,,,1.65,7818,198
Borough Park,Brooklyn,5294,25,No,44965,1230000,2284,24,Interior,M1-2,R6B,,,MX12,,2,4568,269
Greenpoint,Brooklyn,2513,6,No,44965,1550000,10000,200,Corner,R7A,,C2-4,,,VIH,3.45,44403,315
Arverne,Queens,16013,1,No,44959,5600000,32938,202.13,Interior ,R5D,,C3,C2-3,,,2,74849,75
Long Island City,Queens,368,"21, 22",Yes ,44959,14120000,11529,230.81,Corner,R6A,R5B,M1-2,,LIC,,3,40843,346
Old Astoria,Queens,598,"48, 52, 19, 20",Yes,44958,22000000,16277,200.16,Through,R6B,,C4-3,,,,3.40/2.00,49206,213
Astoria,Queens,735,"19, 20, 22, 33, 38",Yes,44958,10500000,68795,940.76,Corner,C8-1,,,,,,1,68795,320
Long Island City,Queens,297,39,No,44956,1600000,2520,25.02,Interior ,M1-3,,,,,,5,12600,79
Far Rockaway,Queens,15566,17,No,44956,1000000,9999,200,Corner,R5,,C1-2,,,,1.25,12499,128
Inwood,Manhattan,2188,1,No,44953,27847660,90624,943.93,Corner,R8,R9A,C2-4,,IN,MIH,7.20/8.50,544102,51
Maspeth,Queens,2396,26,No,44951,1050000,2499,25,Interior ,R4-1,,,,,,0.75,1874,560
East Harlem,Manhattan,1628,"57, 60, 62, 163",Yes,44950,21128641,19612,295.228,Corner,R7-2,,C1-5,,,,3.44/4.00,123979,170
Jamaica Estates,Queens,9950,64,No,44945,5180850,13199,80,Interior ,R6A,,C2-4,,DJ,,3,39536,131
East New York,Brooklyn,3697,"1, 33",Yes,44933,9500000,38830,565,Corner,M1-4,,,,,,2,10500,905
Jamaica,Queens,10026,34,Yes,44930,3415000,4998,50,Interior ,C6-3 ,,,,DJ,VIH,6,4057,842
East New York,Brooklyn,3662,"52, 49, 48",Yes,44925,4005218,9597,212,Corner,C4-4L,,,,EC6,MIH,4.6,44146,91
Mott Haven,The Bronx,2600,79,No,44924,17750000,27000,425,Through,M1-3,,,,,,5,212500,84
Lower East Side,Manhattan,246,5,No,44923,40000000,20038,100.07,Interior ,C6-4,,,,,,12,589100,68
Sheepshead Bay,Brooklyn,7479,"55, 4, 62",Yes,44922,5828563,10970,,Corner,R3-2,,,,,,0.5,5485,182
Lenox Hill,Manhattan,1472,17,No,44922,1000000,7237,70.83,Interior ,R8B,,,,,,4,28948,201
Melrose,The Bronx,2331,36,No,44917,2500000,7500,75,Interior,C4-4,,,,,,3.44/4.00,27900,105
Sunset Park,Brooklyn,5821,43,No,44917,2940000,8000,185,Corner,M1-1,,,,,,1,8000,313
Long Island City,Queens,374,10,No,44916,3900000,4772,49.24,Interior ,R6A,,M1-3,,LIC,,3,14069,277
Forest Hills,Queens,2127,55,No,44915,1900000,2272,130.75,Corner,R7-1 ,,,,,,3.44,9792,194
Prospect Park South,Brooklyn,5100,66,No,44914,4250000,5625,,Interior,R7A,,,,,,4,22500,189
East Harlem,Manhattan,1637,33,No,44911,8900000,5663,175.86,Corner,R9,,,,,MIH,9,92000,147
East Harlem,Manhattan,1773,"4, 72",Yes,44911,13500000,2843,63.16,Interior ,C6-4,,,,125TH/TA,MIH,12,34116,261
Flatiron District,Manhattan,818,56,No,44911,15500000,4140,45,Interior ,C6-4A,,,,,,10,41400,374
Manhattanville,Manhattan,1723,53,No,44910,1274500,1998,20,Interior ,R6A,,,,125TH,,3,5994,213
Brownsville,Brooklyn,3602,7,No,44907,3050000,26565,,Interior,R6,,C2-3,,,,3.00/2.20,74443,87
Williamsburg,Brooklyn,2417,25,No,44907,6500000,2484,,Interior,R6,,C2-3,,,,2.2,7400,412
Belmont,The Bronx,3096,46,No,44904,1190000,5104,50,Interior,R7-1 ,,C2-4,,,,4,21145,56
Bay Ridge,Brooklyn,6109,23,No,44902,5300000,10442,,Corner,R6B,,C2-3,,BR,,2,20884,254
Williamsburg,Brooklyn,3050,4,No,44900,2175000,2250,,Interior,R6,,,,,,3,6698,325
Laurelton,Queens,13100,22,No,44897,6955000,24518,312.41,Corner,R5D,,C2-3,,,,3,67658,103
Hunters Point,Queens,430,"14, 18",No,44897,3450000,4740,42.8,Interior ,R7-3,,M1-5,,LIC,,5,23700,146
East Harlem,Manhattan,1616,50,No,44895,2390000,2462,120.92,Corner,R8A,,C1-4,,,,6.02,14821,179
Williamsburg,Brooklyn,2321,15,No,44895,2650000,2000,,Interior,M1-2/R6A,,,,MX8,VIH,2.7,5281,453
Mount Hope,The Bronx,2803,9,No,44894,2750000,8200,85,Interior,R7-1 ,,,,,,3.44,28208,97
Mott Haven,The Bronx,2344,"1, 11, 27",Yes,44888,37800000,42659,,Corner,C6-2A,,,,,VIH,5.4,306893,123
Theater District,Manhattan,1000,64,No,44887,58890775,8067,91,Interior ,C6-7T,,,,MID,,10,80670,730
Williamsburg,Brooklyn,2725,13,No,44886,8040000,6735,,Corner,R6,,C2-4,,,,3,25275,318
Borough Park,Brooklyn,5450,"47, 48",Yes,44886,2700000,4382,,Corner,R5,,,,,,1.65,7230,373
