NEIGHBORHOOD,BOROUGH,BLOCK,LOT,MULTI-LOT,DATE,PRICE,LOT AREA,LOT FRONTAGE,LOT TYPE,ZONING 1,ZONING 2,OVERLAY 1,OVERLAY 2,SPECIAL DISTRICT,MIH/VIH,BASE FAR,BASE ZFA,PPZFA
Williamsburg,Brooklyn,"3106, 3097","14, 27, 28, 29",Yes,45460,14980000,9375,100,Interior,R6,,,,,,2.2,21307,169
Borough Park,Brooklyn,5437,86,No,45460,1520000,2003,20,Interior,R6,C2-3,,,,,3,6009,253
East New York,Brooklyn,3749,"26, 27, 28, 31, 32, 33, 34, 35, 36",Yes,45460,3600000,29467,406.67,Corner,M1-4,,,,,,2,58934,254
TriBeCa,Manhattan,210,"2, 1",Yes,45460,6500000,2680,103.17,Corner,C6-2A,,,,,,5,10036,648
Washington Heights,Manhattan,2127,11,No,45457,1200000,2375,25,Interior,R7-2,,,,,,3.44,8170,147
Harlem,Manhattan,1969,6,No,45454,25900000,19412,195,Through,R7A,,,,,,4,106922,242
Concourse,The Bronx,2473,8,No,45453,2170000,8497,88.68,Interior,R8,,,,,,6.02,30489,71
Concourse,The Bronx,2473,8,No,45453,2170000,8448,88.68,Interior,R8,,,,,,6.02,30489,71
Flatbush,Brooklyn,5211,74,No,45450,8000000,10000,100,Interior,R6,,C2-4,,,,3,30000,133
Elmhurst,Queens,2453,42,No,45450,3990000,10329,203.92,Corner,C4-2,,,,,,3.4,49336,162
Pelham Bay,The Bronx,4248,1,No,45449,5000000,13570,239.25,Corner,R7-1,R5A,C2-4,,,,4.00/1.10,52467,95
Bushwick,Brooklyn,3466,30,No,45449,2852000,10000,200,Corner,C8-1,,,,,,1,10000,285
Downtown Flushing,Queens,5046,4,No,45447,5000000,4810,75.91,Through,R7-1,,,,,,4,19240,260
Sheepshead Bay,Brooklyn,7159,123,No,45446,2800000,11020,90,Interior,R4,,,, OP,,0.75,8265,339
Sunset Park,Brooklyn,803,9,No,45443,5000001,24040,340.17,Corner,M3-1,,,,,,2,48080,104
Concourse Village,The Bronx,2423,"19, 18",Yes,45442,1700000,5001,66.66,Interior,R7-1,,,,,,3.44,17203,70
Pelham Bay,The Bronx,4197,30,No,45442,2400000,6782,77.08,Interior,R7-1,,,,,,4,27128,86
East Flatbush,Brooklyn,4603,33,No,45442,2325000,17142,140,Interior,C8-2,,R6,,,,2,34284,146
Windsor Terrace,Brooklyn,5264,"24, 123",Yes,45442,5000000,9750,35,Interior,R5,,,,,,1.25,12188,197
Bushwick,Brooklyn,3398,55,No,45442,1200000,3883,38.83,Interior,R6,,,,,,2.2,8406,202
Westchester Village,The Bronx,3963,1,No,45441,6092000,19414,251.9,Corner,R6,,C1-4,,,,3,71935,85
Woodside,Queens,2327,"71, 70, 68, 1",Yes,45441,10000000,6434,175.72,Corner,R5,,,,,,1.25,8043,137
Old Astoria,Queens,884,"57, 58, 55",Yes,45441,1100000,11485,112.62,Interior,R7X, R7B,C2-3,,,,5.00/3.00,47437,211
Forest Hills,Queens,3168,"3, 1",Yes,45440,1950000,6000,160,Corner,R7-1,,,,,,4,24000,81
Corona,Queens,1957,"2, 3",Yes,45440,1625000,4000,40,Interior,R6B,,,,,,2,7904,206
Morrisania,The Bronx,2389,28,No,45436,4900000,3896,133.91,Corner,R7-1 ,,C2-4,,,,4,15584,79
Prospect Park South,Brooklyn,5114,"1, 3, 29",Yes,45436,9600000,19083,223.62,Corner,R6A ,,C2-4,,,,3,57245,168
